Địa điểm quan trắc;Triều;Ký hiệu;Tên viết tắt;Địa chỉ (tiếng Việt);Tên nơi lấy mẫu;Tên vị trí;Tên vị trí mẫu lặp;Tên vị trí mẫu trắng hiện trường;Tên vị trí mẫu trắng vận chuyển;Tên vị trí mẫu trắng thiết bị
Rau Răm;Triều Lên;HCM_NM_RR;HCM_NM_RR_L;Tại khu vực cầu Rau Răm;Rau Răm - HCM_NM_RR - Triều Lên;Rau Răm - Triều Lên;Rau Răm - Triều Lên (QC - Mẫu lặp hiện trường);Rau Răm - Triều Lên (QC - Mẫu trắng hiện trường);Rau Răm - Triều Lên (QC - Mẫu trắng vận chuyển);Rau Răm - Triều Lên (QC - Mẫu trắng thiết bị)
Rau Răm;Triều Xuống;HCM_NM_RR;HCM_NM_RR_X;Tại khu vực cầu Rau Răm;Rau Răm - HCM_NM_RR - Triều Xuống;Rau Răm - Triều Xuống;Rau Răm - Triều Xuống (QC - Mẫu lặp hiện trường);Rau Răm - Triều Xuống (QC - Mẫu trắng hiện trường);Rau Răm - Triều Xuống (QC - Mẫu trắng vận chuyển);Rau Răm - Triều Xuống (QC - Mẫu trắng thiết bị)
Sài Gòn;Triều Lên;HCM_NM_SG;HCM_NM_SG_L;Cầu Sài Gòn KTĐ mới Thủ Thiêm Sông Sài Gòn.;Sài Gòn - HCM_NM_SG - Triều Lên;Sài Gòn - Triều Lên;Sài Gòn - Triều Lên (QC - Mẫu lặp hiện trường);Sài Gòn - Triều Lên (QC - Mẫu trắng hiện trường);Sài Gòn - Triều Lên (QC - Mẫu trắng vận chuyển);Sài Gòn - Triều Lên (QC - Mẫu trắng thiết bị)
Sài Gòn;Triều Xuống;HCM_NM_SG;HCM_NM_SG_X;Cầu Sài Gòn KTĐ mới Thủ Thiêm Sông Sài Gòn.;Sài Gòn - HCM_NM_SG - Triều Xuống;Sài Gòn - Triều Xuống;Sài Gòn - Triều Xuống (QC - Mẫu lặp hiện trường);Sài Gòn - Triều Xuống (QC - Mẫu trắng hiện trường);Sài Gòn - Triều Xuống (QC - Mẫu trắng vận chuyển);Sài Gòn - Triều Xuống (QC - Mẫu trắng thiết bị)
Tam Thôn Hiệp;Triều Lên;HCM_NM_TTH;HCM_NM_TTH_L;Xã Cần Giờ - Thượng lưu ngã ba Tắc Rỗi 800m sông Lòng Tàu.;Tam Thôn Hiệp - HCM_NM_TTH - Triều Lên;Tam Thôn Hiệp - Triều Lên;Tam Thôn Hiệp - Triều Lên (QC - Mẫu lặp hiện trường);Tam Thôn Hiệp - Triều Lên (QC - Mẫu trắng hiện trường);Tam Thôn Hiệp - Triều Lên (QC - Mẫu trắng vận chuyển);Tam Thôn Hiệp - Triều Lên (QC - Mẫu trắng thiết bị)
Tam Thôn Hiệp;Triều Xuống;HCM_NM_TTH;HCM_NM_TTH_X;Xã Cần Giờ - Thượng lưu ngã ba Tắc Rỗi 800m sông Lòng Tàu.;Tam Thôn Hiệp - HCM_NM_TTH - Triều Xuống;Tam Thôn Hiệp - Triều Xuống;Tam Thôn Hiệp - Triều Xuống (QC - Mẫu lặp hiện trường);Tam Thôn Hiệp - Triều Xuống (QC - Mẫu trắng hiện trường);Tam Thôn Hiệp - Triều Xuống (QC - Mẫu trắng vận chuyển);Tam Thôn Hiệp - Triều Xuống (QC - Mẫu trắng thiết bị)
Tân Phú Trung;Triều Lên;HCM_NM_TPT;HCM_NM_TPT_L;Dọc đường Tam Tân cách ngã giao kênh Thầy Cai và kênh An Hạ 1km về phía Tây;Tân Phú Trung - HCM_NM_TPT - Triều Lên;Tân Phú Trung - Triều Lên;Tân Phú Trung - Triều Lên (QC - Mẫu lặp hiện trường);Tân Phú Trung - Triều Lên (QC - Mẫu trắng hiện trường);Tân Phú Trung - Triều Lên (QC - Mẫu trắng vận chuyển);Tân Phú Trung - Triều Lên (QC - Mẫu trắng thiết bị)
Tân Phú Trung;Triều Xuống;HCM_NM_TPT;HCM_NM_TPT_X;Dọc đường Tam Tân cách ngã giao kênh Thầy Cai và kênh An Hạ 1km về phía Tây;Tân Phú Trung - HCM_NM_TPT - Triều Xuống;Tân Phú Trung - Triều Xuống;Tân Phú Trung - Triều Xuống (QC - Mẫu lặp hiện trường);Tân Phú Trung - Triều Xuống (QC - Mẫu trắng hiện trường);Tân Phú Trung - Triều Xuống (QC - Mẫu trắng vận chuyển);Tân Phú Trung - Triều Xuống (QC - Mẫu trắng thiết bị)
Tân Tạo;Triều Lên;HCM_NM_TTa;HCM_NM_TTa_L;Gần khu vực cầu Tân Tạo 2;Tân Tạo - HCM_NM_TTa - Triều Lên;Tân Tạo - Triều Lên;Tân Tạo - Triều Lên (QC - Mẫu lặp hiện trường);Tân Tạo - Triều Lên (QC - Mẫu trắng hiện trường);Tân Tạo - Triều Lên (QC - Mẫu trắng vận chuyển);Tân Tạo - Triều Lên (QC - Mẫu trắng thiết bị)
Tân Tạo;Triều Xuống;HCM_NM_TTa;HCM_NM_TTa_X;Gần khu vực cầu Tân Tạo 2;Tân Tạo - HCM_NM_TTa - Triều Xuống;Tân Tạo - Triều Xuống;Tân Tạo - Triều Xuống (QC - Mẫu lặp hiện trường);Tân Tạo - Triều Xuống (QC - Mẫu trắng hiện trường);Tân Tạo - Triều Xuống (QC - Mẫu trắng vận chuyển);Tân Tạo - Triều Xuống (QC - Mẫu trắng thiết bị)
Tân Thuận;Triều Lên;HCM_NM_TThu;HCM_NM_TThu_L;Khu vực cầu Tân Thuận, phường Tân Thuận. Đoạn kênh Tẻ đổ ra sông Sài Gòn;Tân Thuận - HCM_NM_TThu - Triều Lên;Tân Thuận - Triều Lên;Tân Thuận - Triều Lên (QC - Mẫu lặp hiện trường);Tân Thuận - Triều Lên (QC - Mẫu trắng hiện trường);Tân Thuận - Triều Lên (QC - Mẫu trắng vận chuyển);Tân Thuận - Triều Lên (QC - Mẫu trắng thiết bị)
Tân Thuận;Triều Xuống;HCM_NM_TThu;HCM_NM_TThu_X;Khu vực cầu Tân Thuận, phường Tân Thuận. Đoạn kênh Tẻ đổ ra sông Sài Gòn;Tân Thuận - HCM_NM_TThu - Triều Xuống;Tân Thuận - Triều Xuống;Tân Thuận - Triều Xuống (QC - Mẫu lặp hiện trường);Tân Thuận - Triều Xuống (QC - Mẫu trắng hiện trường);Tân Thuận - Triều Xuống (QC - Mẫu trắng vận chuyển);Tân Thuận - Triều Xuống (QC - Mẫu trắng thiết bị)
TBNM1;1;HCM_NM_TBNM1;HCM_NM_TBNM1_01;Kênh Thầy Cai – cách ngã 3 kênh 15 và kênh Thầy Cai khoảng 500 m về hướng dân cư.;TBNM1 - HCM_NM_TBNM1 - 01;TBNM1 - 01;TBNM1 - 01 (QC - Mẫu lặp hiện trường);TBNM1 - 01 (QC - Mẫu trắng hiện trường);TBNM1 - 01 (QC - Mẫu trắng vận chuyển);TBNM1 - 01 (QC - Mẫu trắng thiết bị)
TBNM1;2;HCM_NM_TBNM1;HCM_NM_TBNM1_02;Kênh Thầy Cai – cách ngã 3 kênh 15 và kênh Thầy Cai khoảng 500 m về hướng dân cư.;TBNM1 - HCM_NM_TBNM1 - 02;TBNM1 - 02;TBNM1 - 02 (QC - Mẫu lặp hiện trường);TBNM1 - 02 (QC - Mẫu trắng hiện trường);TBNM1 - 02 (QC - Mẫu trắng vận chuyển);TBNM1 - 02 (QC - Mẫu trắng thiết bị)
TBNM11;1;HCM_NM_TBNM11;HCM_NM_TBNM11_01;Kênh 16 – giáp bãi chôn lấp số 3 (đầu kênh);TBNM11 - HCM_NM_TBNM11 - 01;TBNM11 - 01;TBNM11 - 01 (QC - Mẫu lặp hiện trường);TBNM11 - 01 (QC - Mẫu trắng hiện trường);TBNM11 - 01 (QC - Mẫu trắng vận chuyển);TBNM11 - 01 (QC - Mẫu trắng thiết bị)
TBNM11;2;HCM_NM_TBNM11;HCM_NM_TBNM11_02;Kênh 16 – giáp bãi chôn lấp số 3 (đầu kênh);TBNM11 - HCM_NM_TBNM11 - 02;TBNM11 - 02;TBNM11 - 02 (QC - Mẫu lặp hiện trường);TBNM11 - 02 (QC - Mẫu trắng hiện trường);TBNM11 - 02 (QC - Mẫu trắng vận chuyển);TBNM11 - 02 (QC - Mẫu trắng thiết bị)
TBNM14;1;HCM_NM_TBNM14;HCM_NM_TBNM14_01;Kênh 17 – Đầu kênh;TBNM14 - HCM_NM_TBNM14 - 01;TBNM14 - 01;TBNM14 - 01 (QC - Mẫu lặp hiện trường);TBNM14 - 01 (QC - Mẫu trắng hiện trường);TBNM14 - 01 (QC - Mẫu trắng vận chuyển);TBNM14 - 01 (QC - Mẫu trắng thiết bị)
TBNM14;2;HCM_NM_TBNM14;HCM_NM_TBNM14_02;Kênh 17 – Đầu kênh;TBNM14 - HCM_NM_TBNM14 - 02;TBNM14 - 02;TBNM14 - 02 (QC - Mẫu lặp hiện trường);TBNM14 - 02 (QC - Mẫu trắng hiện trường);TBNM14 - 02 (QC - Mẫu trắng vận chuyển);TBNM14 - 02 (QC - Mẫu trắng thiết bị)
TBNM15;1;HCM_NM_TBNM15;HCM_NM_TBNM15_01;Kênh 18 – Cách nhà máy Vietstar 300m về hướng ngược dòng chảy.;TBNM15 - HCM_NM_TBNM15 - 01;TBNM15 - 01;TBNM15 - 01 (QC - Mẫu lặp hiện trường);TBNM15 - 01 (QC - Mẫu trắng hiện trường);TBNM15 - 01 (QC - Mẫu trắng vận chuyển);TBNM15 - 01 (QC - Mẫu trắng thiết bị)
TBNM15;2;HCM_NM_TBNM15;HCM_NM_TBNM15_02;Kênh 18 – Cách nhà máy Vietstar 300m về hướng ngược dòng chảy.;TBNM15 - HCM_NM_TBNM15 - 02;TBNM15 - 02;TBNM15 - 02 (QC - Mẫu lặp hiện trường);TBNM15 - 02 (QC - Mẫu trắng hiện trường);TBNM15 - 02 (QC - Mẫu trắng vận chuyển);TBNM15 - 02 (QC - Mẫu trắng thiết bị)
TBNM5;1;HCM_NM_TBNM5;HCM_NM_TBNM5_01;Kênh Thầy Cai – cách kênh 18 khoảng 500 m, hướng về phía thượng nguồn.;TBNM5 - HCM_NM_TBNM5 - 01;TBNM5 - 01;TBNM5 - 01 (QC - Mẫu lặp hiện trường);TBNM5 - 01 (QC - Mẫu trắng hiện trường);TBNM5 - 01 (QC - Mẫu trắng vận chuyển);TBNM5 - 01 (QC - Mẫu trắng thiết bị)
TBNM5;2;HCM_NM_TBNM5;HCM_NM_TBNM5_02;Kênh Thầy Cai – cách kênh 18 khoảng 500 m, hướng về phía thượng nguồn.;TBNM5 - HCM_NM_TBNM5 - 02;TBNM5 - 02;TBNM5 - 02 (QC - Mẫu lặp hiện trường);TBNM5 - 02 (QC - Mẫu trắng hiện trường);TBNM5 - 02 (QC - Mẫu trắng vận chuyển);TBNM5 - 02 (QC - Mẫu trắng thiết bị)
TBNM9;1;HCM_NM_TBNM9;HCM_NM_TBNM9_01;Kênh 15 – Thượng nguồn - Cách bãi số 3 khoảng 500 m ngược hướng dòng chảy;TBNM9 - HCM_NM_TBNM9 - 01;TBNM9 - 01;TBNM9 - 01 (QC - Mẫu lặp hiện trường);TBNM9 - 01 (QC - Mẫu trắng hiện trường);TBNM9 - 01 (QC - Mẫu trắng vận chuyển);TBNM9 - 01 (QC - Mẫu trắng thiết bị)
TBNM9;2;HCM_NM_TBNM9;HCM_NM_TBNM9_02;Kênh 15 – Thượng nguồn - Cách bãi số 3 khoảng 500 m ngược hướng dòng chảy;TBNM9 - HCM_NM_TBNM9 - 02;TBNM9 - 02;TBNM9 - 02 (QC - Mẫu lặp hiện trường);TBNM9 - 02 (QC - Mẫu trắng hiện trường);TBNM9 - 02 (QC - Mẫu trắng vận chuyển);TBNM9 - 02 (QC - Mẫu trắng thiết bị)
TC18A;Triều Lên;HCM_NM_TC18A;HCM_NM_TC18A_L;Trước cổng công ty Fujifilm;TC18A - HCM_NM_TC18A - Triều Lên;TC18A - Triều Lên;TC18A - Triều Lên (QC - Mẫu lặp hiện trường);TC18A - Triều Lên (QC - Mẫu trắng hiện trường);TC18A - Triều Lên (QC - Mẫu trắng vận chuyển);TC18A - Triều Lên (QC - Mẫu trắng thiết bị)
TC18A;Triều Xuống;HCM_NM_TC18A;HCM_NM_TC18A_X;Trước cổng công ty Fujifilm;TC18A - HCM_NM_TC18A - Triều Xuống;TC18A - Triều Xuống;TC18A - Triều Xuống (QC - Mẫu lặp hiện trường);TC18A - Triều Xuống (QC - Mẫu trắng hiện trường);TC18A - Triều Xuống (QC - Mẫu trắng vận chuyển);TC18A - Triều Xuống (QC - Mẫu trắng thiết bị)
Tham Lương;Triều Lên;HCM_NM_TL;HCM_NM_TL_L;Khu vực cầu Tham Lương trên đường Trường Chinh;Tham Lương - HCM_NM_TL - Triều Lên;Tham Lương - Triều Lên;Tham Lương - Triều Lên (QC - Mẫu lặp hiện trường);Tham Lương - Triều Lên (QC - Mẫu trắng hiện trường);Tham Lương - Triều Lên (QC - Mẫu trắng vận chuyển);Tham Lương - Triều Lên (QC - Mẫu trắng thiết bị)
Tham Lương;Triều Xuống;HCM_NM_TL;HCM_NM_TL_X;Khu vực cầu Tham Lương trên đường Trường Chinh;Tham Lương - HCM_NM_TL - Triều Xuống;Tham Lương - Triều Xuống;Tham Lương - Triều Xuống (QC - Mẫu lặp hiện trường);Tham Lương - Triều Xuống (QC - Mẫu trắng hiện trường);Tham Lương - Triều Xuống (QC - Mẫu trắng vận chuyển);Tham Lương - Triều Xuống (QC - Mẫu trắng thiết bị)
Thầy Cai;Triều Lên;HCM_NM_TCa;HCM_NM_TCa_L;Tại khu vực cầu Thầy Cai.;Thầy Cai - HCM_NM_TCa - Triều Lên;Thầy Cai - Triều Lên;Thầy Cai - Triều Lên (QC - Mẫu lặp hiện trường);Thầy Cai - Triều Lên (QC - Mẫu trắng hiện trường);Thầy Cai - Triều Lên (QC - Mẫu trắng vận chuyển);Thầy Cai - Triều Lên (QC - Mẫu trắng thiết bị)
Thầy Cai;Triều Xuống;HCM_NM_TCa;HCM_NM_TCa_X;Tại khu vực cầu Thầy Cai.;Thầy Cai - HCM_NM_TCa - Triều Xuống;Thầy Cai - Triều Xuống;Thầy Cai - Triều Xuống (QC - Mẫu lặp hiện trường);Thầy Cai - Triều Xuống (QC - Mẫu trắng hiện trường);Thầy Cai - Triều Xuống (QC - Mẫu trắng vận chuyển);Thầy Cai - Triều Xuống (QC - Mẫu trắng thiết bị)
Thị Nghè 2;Triều Lên;HCM_NM_TN2;HCM_NM_TN2_L;Khu vực cầu Thị Nghè 2 trên đường Nguyễn Hữu Cảnh, gần Thảo Cầm Viên;Thị Nghè 2 - HCM_NM_TN2 - Triều Lên;Thị Nghè 2 - Triều Lên;Thị Nghè 2 - Triều Lên (QC - Mẫu lặp hiện trường);Thị Nghè 2 - Triều Lên (QC - Mẫu trắng hiện trường);Thị Nghè 2 - Triều Lên (QC - Mẫu trắng vận chuyển);Thị Nghè 2 - Triều Lên (QC - Mẫu trắng thiết bị)
Thị Nghè 2;Triều Xuống;HCM_NM_TN2;HCM_NM_TN2_X;Khu vực cầu Thị Nghè 2 trên đường Nguyễn Hữu Cảnh, gần Thảo Cầm Viên;Thị Nghè 2 - HCM_NM_TN2 - Triều Xuống;Thị Nghè 2 - Triều Xuống;Thị Nghè 2 - Triều Xuống (QC - Mẫu lặp hiện trường);Thị Nghè 2 - Triều Xuống (QC - Mẫu trắng hiện trường);Thị Nghè 2 - Triều Xuống (QC - Mẫu trắng vận chuyển);Thị Nghè 2 - Triều Xuống (QC - Mẫu trắng thiết bị)
Trung Tâm;Triều Lên;HCM_NM_TrT;HCM_NM_TrT_L;Khu vực Cầu Đường C, đường Trung Tâm, phường Tân Tạo;Trung Tâm - HCM_NM_TrT - Triều Lên;Trung Tâm - Triều Lên;Trung Tâm - Triều Lên (QC - Mẫu lặp hiện trường);Trung Tâm - Triều Lên (QC - Mẫu trắng hiện trường);Trung Tâm - Triều Lên (QC - Mẫu trắng vận chuyển);Trung Tâm - Triều Lên (QC - Mẫu trắng thiết bị)
Trung Tâm;Triều Xuống;HCM_NM_TrT;HCM_NM_TrT_X;Khu vực Cầu Đường C, đường Trung Tâm, phường Tân Tạo;Trung Tâm - HCM_NM_TrT - Triều Xuống;Trung Tâm - Triều Xuống;Trung Tâm - Triều Xuống (QC - Mẫu lặp hiện trường);Trung Tâm - Triều Xuống (QC - Mẫu trắng hiện trường);Trung Tâm - Triều Xuống (QC - Mẫu trắng vận chuyển);Trung Tâm - Triều Xuống (QC - Mẫu trắng thiết bị)
Trường Đai;Triều Lên;HCM_NM_TĐ;HCM_NM_TĐ_L;Tại khu vực cầu Trường Đai;Trường Đai - HCM_NM_TĐ - Triều Lên;Trường Đai - Triều Lên;Trường Đai - Triều Lên (QC - Mẫu lặp hiện trường);Trường Đai - Triều Lên (QC - Mẫu trắng hiện trường);Trường Đai - Triều Lên (QC - Mẫu trắng vận chuyển);Trường Đai - Triều Lên (QC - Mẫu trắng thiết bị)
Trường Đai;Triều Xuống;HCM_NM_TĐ;HCM_NM_TĐ_X;Tại khu vực cầu Trường Đai;Trường Đai - HCM_NM_TĐ - Triều Xuống;Trường Đai - Triều Xuống;Trường Đai - Triều Xuống (QC - Mẫu lặp hiện trường);Trường Đai - Triều Xuống (QC - Mẫu trắng hiện trường);Trường Đai - Triều Xuống (QC - Mẫu trắng vận chuyển);Trường Đai - Triều Xuống (QC - Mẫu trắng thiết bị)
Vàm Sát;Triều Lên;HCM_NM_VS;HCM_NM_VS_L;Xã Cần Giờ - Hạ lưu cửa sông Vàm Sát 150m sông Đồng Nai.;Vàm Sát - HCM_NM_VS - Triều Lên;Vàm Sát - Triều Lên;Vàm Sát - Triều Lên (QC - Mẫu lặp hiện trường);Vàm Sát - Triều Lên (QC - Mẫu trắng hiện trường);Vàm Sát - Triều Lên (QC - Mẫu trắng vận chuyển);Vàm Sát - Triều Lên (QC - Mẫu trắng thiết bị)
Vàm Sát;Triều Xuống;HCM_NM_VS;HCM_NM_VS_X;Xã Cần Giờ - Hạ lưu cửa sông Vàm Sát 150m sông Đồng Nai.;Vàm Sát - HCM_NM_VS - Triều Xuống;Vàm Sát - Triều Xuống;Vàm Sát - Triều Xuống (QC - Mẫu lặp hiện trường);Vàm Sát - Triều Xuống (QC - Mẫu trắng hiện trường);Vàm Sát - Triều Xuống (QC - Mẫu trắng vận chuyển);Vàm Sát - Triều Xuống (QC - Mẫu trắng thiết bị)
Xóm Củi;Triều Lên;HCM_NM_XC;HCM_NM_XC_L;Trên cầu Xóm Củi giao giữa đường Nguyễn Văn Linh và rạch Hiệp An;Xóm Củi - HCM_NM_XC - Triều Lên;Xóm Củi - Triều Lên;Xóm Củi - Triều Lên (QC - Mẫu lặp hiện trường);Xóm Củi - Triều Lên (QC - Mẫu trắng hiện trường);Xóm Củi - Triều Lên (QC - Mẫu trắng vận chuyển);Xóm Củi - Triều Lên (QC - Mẫu trắng thiết bị)
Xóm Củi;Triều Xuống;HCM_NM_XC;HCM_NM_XC_X;Trên cầu Xóm Củi giao giữa đường Nguyễn Văn Linh và rạch Hiệp An;Xóm Củi - HCM_NM_XC - Triều Xuống;Xóm Củi - Triều Xuống;Xóm Củi - Triều Xuống (QC - Mẫu lặp hiện trường);Xóm Củi - Triều Xuống (QC - Mẫu trắng hiện trường);Xóm Củi - Triều Xuống (QC - Mẫu trắng vận chuyển);Xóm Củi - Triều Xuống (QC - Mẫu trắng thiết bị)
Xuân Thới Sơn;Triều Lên;HCM_NM_XTS;HCM_NM_XTS_L;Dọc đường Thanh Niên đối diện với cơ sở xã hội Nhị Xuân;Xuân Thới Sơn - HCM_NM_XTS - Triều Lên;Xuân Thới Sơn - Triều Lên;Xuân Thới Sơn - Triều Lên (QC - Mẫu lặp hiện trường);Xuân Thới Sơn - Triều Lên (QC - Mẫu trắng hiện trường);Xuân Thới Sơn - Triều Lên (QC - Mẫu trắng vận chuyển);Xuân Thới Sơn - Triều Lên (QC - Mẫu trắng thiết bị)
Xuân Thới Sơn;Triều Xuống;HCM_NM_XTS;HCM_NM_XTS_X;Dọc đường Thanh Niên đối diện với cơ sở xã hội Nhị Xuân;Xuân Thới Sơn - HCM_NM_XTS - Triều Xuống;Xuân Thới Sơn - Triều Xuống;Xuân Thới Sơn - Triều Xuống (QC - Mẫu lặp hiện trường);Xuân Thới Sơn - Triều Xuống (QC - Mẫu trắng hiện trường);Xuân Thới Sơn - Triều Xuống (QC - Mẫu trắng vận chuyển);Xuân Thới Sơn - Triều Xuống (QC - Mẫu trắng thiết bị)
